職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
機器學習/深度學習/人工智慧研發工程師,敦泰電子集團_敦捷光電股份有限公司,40000.0,2年以上,根據各種手機相關應用問題，研發適合的機器學習/深度學習/人工智慧技術與模型，內容包含但不限於圖形辨識、電腦視覺、預測分析及自然語言處理等。,1.	具備實現演算法之分析、設計及程式撰寫能力2.	熟悉機器學習或人工智慧相關技術與framework3.	熟悉電腦視覺、影像處理、圖形辨識等應用4.	對人工智慧與機器學習研究具有熱忱者5.	具備獨立工作、研究與開發熱忱及團隊合作之精神, C C++ Java Python,IC設計相關業,2.0
深度學習工程師/機器學習工程師 (SWS),宏燁資訊股份有限公司,40000.0,經歷不拘,"1. 進行演算法的設計、分析及模擬。
2. 利用演算法，解決各領域的問題
3. 設計並實作機器學習或深度學習相關之演算法達到機器視覺的功能 
4. 開發影像分析應用軟體",TensorflowKerasMachine Learning /Deep LearningOpenCV, Python 軟體程式設計,電腦及其週邊設備製造業,0.0
機器人-電腦視覺/機器學習演算法工程師,廣明光電股份有限公司_廣達關係企業,30000.0,經歷不拘,"Job Describe:
1.Design and implement Computer vision / Machine learning algorithm for industrial robot;
2.Design and implement user interface for vision software.
3.	Cooperate with a cross-function team to develop smart features in robot applications;
4.Maintain, debug and document developed codes.
Basic Requirements:
1.Enthusiasm for building state-of-the-art robots with intelligent vision system;
2.Strong coding skills in C and C++;
3.Experience in developing computer vision / machine learning algorithms
Plus:
1. Strong knowledge on camera calibration, camera geometry and robot’s hand/eye system
2. Familiar with Visual Studio, QT, and OpenCV",未填寫,,光電產業,0.0
機器學習與電腦視覺演算法工程師 (AI),聯發科技股份有限公司,40000.0,2年以上,"1. Develop Machine Learning/Deep Learning algorithm for machine vision 2. Explore new applications in the next generation smartphone, surveillance, smart home and autonomous vehicles","1. Experience in deep neural networks (CNN, RNN, BNN, TWN)2. Experience in deep learning methodology (unsupervised learning, reinforcement learning, network reduction, GAN)3. Experience in C/C++/Python Programming 4. Familiar with Machine Learning/Computer Vision 5. Familiar with Caffe/TensorFlow",,半導體製造業,2.0
Lab_機器學習高級工程師 Machine Learning Senior Engineer (18001Z),四零四科技股份有限公司,40000.0,3年以上,"職務目的：
四零四科技是世界工業連網設備的領導品牌，公司內部累積多種工業網通領域相關資料。我們的使命是透過機器學習的力量解決有價值的問題，以提供更好的產品與服務。 
  
主要任務：  
1. 將機器學習的理論應用在實際場景，解決有價值的問題，打造能夠產品化的智能服務 (Machine Learning Based Service)
2. 設計並建立資料蒐集系統及分析工具，並與資料科學家及領域專家合作，以抽取資料特徵進行分析
3. 掌握最新的機器學習相關技術發展，並在內部傳遞知識

專業能力：
1. 三年以上機器學習相關實務經驗
2. 熟悉下列機器學習技巧，如：Support Vector Machine, Probabilistic Graphical Model, Neural Networks
3. 熟悉下列任一機器學習框架，如：TensorFlow、Caffe、MXNET、Torch
4. 三年以上C++及Python，或MATLAB開發經驗
5. 能夠閱讀機器學習相關論文，並實現論文方法

優先考慮條件：
1. 有敏捷開發、TDD、CI/CD經驗尤佳
2. 有機器學習線上MOOC課程的修課紀錄或證書尤佳
",能力與特質：1. 優異的邏輯分析思考及判斷力2. 適應變化的開放心態及快速學習的能力3. 勇於嘗試不同作法，喜歡面對未知的問題4. 能夠運用理論及工具有效率地解決問題5. 良好的英文讀寫能力及聽力 (TOEIC 700分以上)  6. 良好的溝通能力，能夠清楚解釋分析方法與結果, C++ Python TOEIC,電腦系統整合服務業,3.0
JN-機器學習工程師 (Machine Learning Engineer) 年薪120~200萬,新加坡商立可人事顧問有限公司台灣分公司,70000.0,經歷不拘,"- Apply machine learning to a variety of modeling and relevance problems at enterprise level. 
- Participate in the engineering life-cycle, including writing production code, conducting code reviews and deploy machine learning solutions into production. 

【Requirements】 
- Strong programming skills in Python or similar language. 
- Familiarity with machine learning frameworks/libraries. 
- Familiarity with machine learning algorithms. Strong knowledge in machine learning technologies related to image processing is a plus. 
- Experience in data modeling and evaluation",未填寫,,人力仲介代徵,0.0
電腦視覺與機器學習研究員 Computer Vision/Machine Learning Researcher,阿福股份有限公司,60000.0,2年以上,"1. Facilitate the adoption of computer-vision related machine learning/deep learning technologies in the product 
2. Train/Fine-tune models to meet productization requirements and optimize execution performance on devices 
3. Evaluate/Experiment ML/DL/CV related new technologies/models/services which have potential synergies with current product offerings 
4. Build prototypes or proof-of-concepts demos on Android or embedded platforms 
5. Co-work with other development team members in to develop and deploy ML/DL technologies in production","1. Self-motivated and enthusiastic in artificial intelligence / machine learning / deep learning 2. MS or PhD majored in related areas (Computer Science, EE, Mathematics, and Statistics) is highly recommended 3. Understandings and experiences working with one or more machine learning framework, TensorFlow and Caffe would be a plus 4. Solid Python programming skills in terms of data analysis and machine learning 5. Experiences working with OpenCV and Computer Vision related know-hows is a plus 6. Experiences building a complete system using machine learning techniques is a plus", C Python 系統整合分析 軟體工程系統開發 網路資料傳輸 信號與系統設計 資料通訊與網路應用 軟體程式設計 網路程式設計,多媒體相關業,2.0
工研院資通所-機器學習工程師(F011),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"開發機器學習相關應用技術，包括：
1.模型加速技術研發
2.TVM排程及編譯技術研發
3.TensorFlow效能優化研發
4.防護AI/ML訓練資料
5.5G與人工智慧應用","1. 熟悉機器學習或人工智慧相關技術與 framework 2. 熟悉一種軟體語言(C/C++, Java, Script language, Javasciprt)3. 具有基本 Linux 操作能力4. 軟體測試相關經驗與觀念有加分*請檢附相當於TOEIC 650分之英語測驗成績證明(具外國學歷或國外正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測", Linux C C++ Java JavaScript,其他專業／科學及技術業,0.0
Machine Learning/AI Engineer(人臉影像)機器學習科學家,臺灣數字王國有限公司,40000.0,經歷不拘,"•	Fluent in C/C++ and python programming 
•	Familiar with deep learning/machine learning frameworks like TensorFlow, Theano, PyTorch, Keras, Scikit Learn, and so on
•	Familiar with deep learning experience (CNN, RNN, LSTM, …, etc.)
•	Familiar with computer vision
•	Generative adversarial networks & Convolutional Neural Network 
","Plus:•	Experience in digital image process and computer vision (detect facial landmarks, facial expressions, …, etc.)", C++ Python Visual Studio,光學器材製造業,0.0
機器學習Machine learning/深度學習Deep learning - 研發分析工程師,崴強科技股份有限公司,40000.0,經歷不拘,"1.Machine Learning/Deep Learning 於影像及聲音相關開發應用
2. 論文研討: 專攻 Deep Learning 相關論文 (理論, 架構, 影像, 聲音, ..., etc.)
3. 專案開發: 配合公司產品, 導入 Deep Learning 相關技術 (包括但不限: 影像辨識, 影像修補, 超解析度, 瑕疵檢測, 異常偵測)
4. 技術開發: 提出方法突破 Deep Learning 產品化的阻礙  (包括但不限: 資料分析, 網路壓縮, 資料擴增, 增強學習)","1. 碩士以上電機、資訊工程、科學或統計數理相關學歷背景2. 具類神經網路/機器學習/深度學習相關知識尤佳3. 具多媒體訊號處理相關經驗尤佳4. 具資料分析/清理/視覺化相關經驗尤佳5. 具獨立思考, 善溝通, 善表達尤佳6. 熟悉 Keras, Tensorflow 尤佳7. 具創新能力與勇於接受挑戰尤佳", C++ Python R,電腦及其週邊設備製造業,0.0
IH-電腦視覺與機器學習(上班地點:台南市中西區),麗寶大數據股份有限公司,31000.0,3年以上,"1. Facilitate the adoption of computer-vision related machine learning/deep learning technologies in the product
2. Evaluate/Experiment ML/DL/CV related new technologies/models/services which have potential synergies with current product offerings
3. Build prototypes or proof-of-concepts demos on Android or embedded platforms
4. Co-work with other development team members to develop and deploy ML/DL technologies in production","1. Self-motivated and enthusiastic in artificial intelligence/machine learning / deep learning2. Understandings and experiences working with one or more machine learning framework, TensorFlow, Keras or PyTorch is a big plus3. Solid Python or C programming skills in terms of CV、data analysis and machine learning4. Experiences working with OpenCV and Computer Vision related know-how is a plus5. Experiences building a complete system using machine learning techniques is a plus",,電腦軟體服務業,3.0
Sr. Machine Learning/AI Engineer (資深機器學習/人工智能工程師),香港商雅虎資訊股份有限公司(Yahoo!奇摩),40000.0,經歷不拘,"A Little About Us
Yahoo! is a brand of Oath. Oath is a subsidiary of Verizon communications’ Media and Telematics division, that serve as the parent company of its content sub-divisions AOL and Yahoo!. At Oath, our mission is to Build Brands People Love. Not just our brands, like Yahoo! Finance or the Huffington Post, but our clients’ brands, too. Whenever we go into client meetings, we call out and focus on the “YOURS” on this slide.

The Data and EC Planning team, a subdivision of Strategy and Biz Ops, TW, offers various data related services such as data/business analytics, CRM, data science, BI, etc as well as Biz Ops support to senior key stakeholders. Our mission is to create value out of audience, transaction and advertising data by building analytic data foundation, generating actionable business insights, and identifying new business opportunities that improve our user/partner/advertiser’s experiences and grow our business

A Lot About You
As a machine learning / AI engineer, you will contribute on analyze, plan, development, execution and innovation across specific engagements. The role is expected to work in close collaboration with business unit, product owners, data engineers and analysts. Be able to explore data to identify opportunities to improve business results and prioritize which products should be worked in order to maximize success.

Your Day
• Help product managers and business stakeholders understand the potential and limitations of AI when planning new data products.
• Build machine learning and deep learning models from scratch (feature selection and classifiers optimization) and help product managers and stakeholders understand results.
• Deploy AI models into production.
• Create APIs and integrate AI models into operations and automation.
• Keep current of latest AI research relevant to our business domain.

You Must Have
• MS or PhD degree in Computer Sciences, Mathematics, Statistics, Electrical Engineering, or related technical field
• Working experience with any major deep learning engine
• Ideal candidate skilled in Machine Learning and Artificial Intelligence techniques, such as Neural Networks(NN), Natural Language Processing(NLP) and ML models. 
• Hands-on programming ability such as Java, Scala or Python. Familiar with OO design and common design pattern.
• A great plus for experiences with big data platforms (Hadoop, Spark and Oracle RAC)",未填寫,,網際網路相關業,0.0
