職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
D4000 機器學習/資料科學工程師,富邦媒體科技股份有限公司(富邦momo),40000.0,3年以上,"We are looking for proven technical, hands-on Data Science and Machine Learning (AI) Engineers with a broad knowledge of machine learning techniques to help design and implement solutions across company domain areas. The person hired will develop technologies in the area of machine learning, artificial intelligence, natural language processing, pattern recognition, data mining or computer vision to bring new insights and create business opportunities. 

Primary Responsibilities include but are not limited to the following:
●Rapid and extensive development of AI Algorithms, Data Models and Framework for multiple AI based project including Search discovery, Image recognition, Recommendation system, Anomaly detection and Smart robot related products.
●Leverage expertise to develop new technologies, providing growth opportunities to support company products and businesses.
●Collaborate with software engineering teams to drive real-time model implementation and new feature creations.
●Work with Big Data team to perform data analysis and mining to build data model and generate data-driven decision. 
●End to End hands-on ownership of machine learning system deployable across various projects.","Job Requirements:●B.S. or higher degree in Computer Science, Data Science, Software Engineering, Applied Mathematics or related discipline.●Experience in Machine Learning, Data Science, Natural Language Processing, Computer Vision, Artificial Intelligence, Anomaly Detection, Pattern Recognition, Statistics Modeling, Large Scale Data Mining and/or applied mathematics in industry.●Mush have hand on coding with Java, Scala, Spark, Python or any proficient AI language of choice.●Proficiency with Hadoop v2, MapReduce, HDFS.●Familiar with S.M.A.C.K stack technology.●Excellent communication skills (oral, written and presentation) * 如經面試錄取後，報到時須繳交「體格檢查表(一般)」，請於報到前自行至醫療機構辦理體檢 *",,百貨相關業,3
Data Scientist 資料科學家 （台北）,立達軟體科技股份有限公司,60000.0,經歷不拘,"只要認真努力，達成公司績效目標，年薪超過百萬。
需有博士學位。
以 C++ 及 Python 語言開發人工智慧演算法：機器視覺、影像處理、語音辨識、自然語言、電腦語音、機器學習、類神經網路、機器人控制等。

需有相關程式設計經驗及對人工智慧有高度興趣。
積極且認真負責，需能獨立解決工作上遇到的問題。

準時上下班，加班都有加班費。
目前公司已登上創櫃板，正在尋找一起朝上市目標邁進的夥伴們！
如果您對於人工智慧機器人產業有興趣，請趕快投履歷給我們喔～謝謝！ :)

溫馨提醒，面試時會考 OpenR8 的使用，請您務必事先下載熟悉如何使用。 :)
(下載網址為 https://tw.leaderg.com/openr8 )
",英文及數學相關成績需要很高分，面試時需攜帶在學成績單。, C++ Python 軟體程式設計,電腦軟體服務業,0
資料科學家_語音技術研發(ASR)工程師,前進智能股份有限公司,40000.0,經歷不拘,"工作內容:
●申請者應具備語音訊號處理(audio signal)、深度學習(deep learning)、機器學習(machine learning)、語言模型(language model)等相關知識或經驗，主要負責的工作為語音辨識(STT)系統開發、語音合成(TTS)等。

必要條件:
●具電機工程、資訊工程或相關領域之學士、碩士以上學位
●熟稔 Python/C/C++ 程式語言 
●熟稔機器學習框架如 Tensorflow (Keras), PyTorch, Caffe, CNTK 等其中一種或多種工具 
●熟稔 Linux, Unix操作系統
●具備強烈自我學習及解決問題的能力

加分條件，具備以下相關知識或經驗者尤佳 :
●聲音訊號處理 (audio signal)
●聲學模型 (acoustic model)
●語言模型 (language model)
●深度學習 (deep learning)
●機器學習 (machine learning)
●Kaldi
●有獨立進行 paper survey 之能力
●精通英文聽、說、讀、寫尤佳",未填寫, Linux UNIX C C++ Python,其它軟體及網路相關業,0
[知名遊戲公司] 資深資料科學家(Senior Data Scientist),Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,40000.0,5年以上,"Responsibilities:
1. Support other teams to track user bahaviours on App/Web to generate useful report.
2. Technical support for Data Analysis Team

Requirements:
[Must Have]
1. Practical knowledge of Java / Javascript / Python
2. Familiarity with building Scalable/Maintainable RESTful APIs on Linux
3. Good understanding of any SQL/NoSQL database (MySQL / Cassandra / etc.)
4. Experience with Hadoop / Hive / Spark",1. Experience with building Cordova App2. Experience with building android / iOS libraries3. Experience with Airflow / Hue / Ambari4. Experience with Keras / TensorFlow,,人力仲介代徵,5
人工智慧 / 深度學習 / 資料科學工程師 (自然語言處理),研鼎智能股份有限公司,40000.0,2年以上,"1. 深度學習模型建構
2. 研發基於深度學習之自然語言處理技術 (需 study paper 並實作)
3. 開發自然語言處理子系統引擎，介接入完整應用系統內

關鍵字 / keywords : 機器學習、深度學習、TensorFlow、Keras、Gensim、自然語言處理

",1. 團隊合作、熱誠、積極、主動2. 瞭解機器學習、深度學習原理與相關實做經驗3. 熟悉 TensorFlow、Keras4. 應徵請提供成績單與作品集, C C++ Python 軟體工程系統開發 軟體程式設計,電腦軟體服務業,2
Garmin Asia 汽車事業群_GIS資料科學工程師_(GIS Data Scientist)_汐止,GARMIN_台灣國際航電股份有限公司,40000.0,經歷不拘,"工作內容
(1)研究和整合機器學習技術提升製圖效率，開放原始碼使用或演算法實作
(2)GIS相關工具開發維護、網路服務建置
(3)空間大數據分析和應用
(4)空間資訊新技術研究和實作

必要條件
(1)熟悉 Python/Java/C++/C#
(2)熟悉資料庫處理 (MSSQL, PostgreSQL, MongoDB)
(3)熟悉Tensorflow, Caffe 或 PyTorch 等深度學習框架
(4)具備實作RESTful APIs, XML, JSON 及網路程式設計之經驗
(5)TOEIC 600+","(1)具文字探勘/影像處理相關背景(2)具測量背景或測量計師執照(3)對演算法和開放原始碼有熱忱(4)具CNNs實作物件偵測、追跡、語意切割等之經驗(5)具光達點雲資料處理經驗(6)具Kubernetes, Jenkins, & Docker之經驗", C# C++ Java Python MS SQL,電信相關業,0
人工智慧 / 深度學習 / 資料科學工程師 (影像辨識),研鼎智能股份有限公司,40000.0,2年以上,"1. 深度學習模型建構
2. 研發基於深度學習之影像辨識技術 (需 study paper 並實作)
3. 開發影像辨識子系統，介接入完整應用系統內

關鍵字 / keywords : 機器學習、深度學習、TensorFlow、Keras、影像辨識
",1. 團隊合作、熱誠、積極、主動2. 瞭解機器學習、深度學習原理與相關實做經驗3. 熟悉 TensorFlow、Keras、Chainer4. 應徵請提供成績單與作品集, C C++ Python 軟體工程系統開發 軟體程式設計,電腦軟體服務業,2
【顧問部】顧問師/高級顧問師/副理(資料科學家)-317,KPMG_安侯建業聯合會計師事務所,40000.0,2年以上,"• Solve customers' complex business problems using innovative analytical techniques
• Familiarity with data mining and analytics approaches
• Communicate with people of various technical and business backgrounds, including the ability to explain difficult technical concepts in simple terms to business users.
• Work independently and in a team environment.

1. 透過創新及創見的資料分析手法解決客戶各類型商業議題
2. 與技術人員或是業務單位人員溝通資料分析議題並且能夠化繁為簡讓業務單位人員能夠理解。
3. 能夠獨立工作並重視團隊合作","1. 分析程式語言要求：- Python or R, SAS , SPSS- SQL- Statistic modeling, machine learning experience分析程式語言Python or R, SPSS, SAS資料整理程式語言 SQL熟悉統計分析建模及機器學習2.大數據工程相關程式語言：大數據工程程式語言- Spark, Hadoop, Hive- Have experience of building model on big data- Spark, Hadoop, Hive", Windows XP Python ANSI SQL Excel Outlook PowerPoint Word SAS SPSS,會計服務業,2
[AICoE] AI Data Scientist 人工智慧資料科學家_台達研究院(台北),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,40000.0,經歷不拘,"大數據分析已成為企業競爭力的重要關鍵之一，其中人工智慧 (Artificial Intelligence)被視為是翻轉產業的革命型技術。台達電子為了加速產業界導入AI應用，創造智慧化的加值服務，整合AI相關技術與培訓資源，因而成立AI創新中心(AI Center of Excellence)。

因應瞬息萬變的商業環境，共享與協作才能快速創新，這是AI創新中心在資源及服務上的定位，台達將透過此中心的資源來培訓人才並與台達內部各單位合作，落實AI技術於各式服務。

加入本中心, 你/妳將會有機會參與以下題目的數據分析工作:
1.	Video & Image Processing: 缺陷偵測、物件偵測
2.	Bio-image Analytics, Bio-fluorescence Image: 生醫影像分析、生醫文字探勘
3.	Operations Research: 生產排程最佳化、運輸派送最佳化、產能最佳化
4.	Natural Language Processing:	 工業領域斷詞、詞性標注、命名實體識別; 工業領域知識圖譜建構; 閱讀理解為基礎的問答系統建構
5.	Time Series Analysis:	產品品質診斷、機台預測維護(predictive maintenance)

主要工作內容：
1.	以統計、機器學習與深度學習分析內外部客戶資料，提供合適的解決方案
2.	研究與開發數據分析及最佳化技術之演算法及應用
3.	設計、協助及管理數據分析服務及人工智慧專案等業務之推動
4.	參與智慧製造、智慧生活、智慧醫療、智慧企業等產業轉型專案，並協助設計相關流程

","1.	電機/資工/資管/機械/數學/統計/工工，具機器學習、深度學習或最佳化技術背景等相關系所2.	熟悉以下至少一種數據分析語言：Python, R, Matlab, Java, Scala, C/C++3.	熟悉至少一種機器學習或數據分析工具或套件：Scikit-learn, PyTorch, Tensorflow, Keras, OpenCV, NLTK, Stanford-coreNLP等4.	具備程式開發熱忱與積極性，善於溝通協調與團隊合作精神並能獨立解決問題5.	投遞履歷須檢附大學及研究所成績單",,其他電子零組件相關業,0
工業4.0百人招募專案!!Garmin Asia 製造工程處_資料科學工程師(Data Scientist)_汐止,GARMIN_台灣國際航電股份有限公司,40000.0,2年以上,"工作內容：
使用機器學習/深度學習/統計模型實現智慧製造，涵蓋的應用包括 
1. 影像瑕疵檢測 - 應用深度學習CNN於瑕疵檢測，取代目前人工目檢
2. 工廠節能 - 透過環境感測器取得資料分析，選擇出適合的節能模型
3. 異常分析 - 應用機器學習資料分析於設備、產品異常檢測並推估保養的時間，依據目標定義出該收集何種資料以及對應的演算法

工作條件：(具備以下能力之一，或相關實務經驗尤佳)
1. 具備機器學習、深度學習、統計分析、資料探勘實務經驗或研究背景，對原理有扎實理解 (machine learning/deep learning/statistical modeling/data mining)
2. 熟悉監督式學習演算法在資料、影像、聲音上的應用 (CNN/RNN/LSTM)
3. 熟悉非監督式學習演算法 (VAE/GAN)
4. 熟悉強化學習演算法 (DQN/policy gradient methods)

",NA,,電信相關業,2
